Wavelength,Ethanol_1,Ethanol_2,Ethanol_3,0_Hg_1min_1,0_Hg_1min_2,0_Hg_1min_3,0_Hg_3min_1,0_Hg_3min_2,0_Hg_3min_3,0_Hg_5min_,0_Hg_5min_2,0_Hg_5min_3,0_Hg_10min_1,0_Hg_10min_2,0_Hg_10min_3,0.025_Hg_1min_1,0.025_Hg_1min_2,0.025_Hg_1min_3,0.025_Hg_3min_1,0.025_Hg_3min_2,0.025_Hg_3min_3,0.025_Hg_5min_1,0.025_Hg_5min_2,0.025_Hg_5min_3,0.025_Hg_10min_1,0.025_Hg_10min_2,0.025_Hg_10min_3,0.05_Hg_1min_1,0.05_Hg_1min_2,0.05_Hg_1min_3,0.05_Hg_3min_1,0.05_Hg_3min_2,0.05_Hg_3min_3,0.05_Hg_5min_1,0.05_Hg_5min_2,0.05_Hg_5min_3,0.05_Hg_10min_1,0.05_Hg_10min_2,0.05_Hg_10min_3,0.075_Hg_1min_1,0.075_Hg_1min_2,0.075_Hg_1min_3,0.075_Hg_3min_1,0.075_Hg_3min_2,0.075_Hg_3min_3,0.075_Hg_5min_1,0.075_Hg_5min_2,0.075_Hg_5min_3,0.075_Hg_10min_1,0.075_Hg_10min_2,0.075_Hg_10min_3,0.1_Hg_1min_1,0.1_Hg_1min_2,0.1_Hg_1min_3,0.1_Hg_3min_1,0.1_Hg_3min_2,0.1_Hg_3min_3,0.1_Hg_5min_1,0.1_Hg_5min_2,0.1_Hg_5min_3,0.1_Hg_10min_1,0.1_Hg_10min_2,0.1_Hg_10min_3,0.01_Hg_1min_1,0.01_Hg_1min_2,0.01_Hg_1min_3,0.01_Hg_3min_1,0.01_Hg_3min_2,0.01_Hg_3min_3,0.01_Hg_5min_1,0.01_Hg_5min_2,0.01_Hg_5min_3,0.01_Hg_10min_1,0.01_Hg_10min_2,0.01_Hg_10min_3,0.015_Hg_1min_1,0.015_Hg_1min_2,0.015_Hg_1min_3,0.015_Hg_3min_1,0.015_Hg_3min_2,0.015_Hg_3min_3,0.015_Hg_5min_1,0.015_Hg_5min_2,0.015_Hg_5min_3,0.015_Hg_10min_1,0.015_Hg_10min_2,0.015_Hg_10min_3,0.02_Hg_1min_1,0.02_Hg_1min_2,0.02_Hg_1min_3,0.02_Hg_3min_1,0.02_Hg_3min_2,0.02_Hg_3min_3,0.02_Hg_5min_1,0.02_Hg_10min_1,0.02_Hg_10min_2,0.02_Hg_10min_3,0.0075_Hg_1min_1,0.0075_Hg_1min_2,0.0075_Hg_1min_3,0.0075_Hg_3min_1,0.0075_Hg_3min_2,0.0075_Hg_3min_3,0.0075_Hg_5min_1,0.0075_Hg_5min_2,0.0075_Hg_5min_3,0.0075_Hg_10min_1,0.0075_Hg_10min_2,0.0075_Hg_10min_3,0.005_Hg_1min_1,0.005_Hg_1min_2,0.005_Hg_1min_3,0.005_Hg_3min_1,0.005_Hg_3min_2,0.005_Hg_3min_3,0.005_Hg_5min_1,0.005_Hg_5min_2,0.005_Hg_5min_3,0.005_Hg_10min_1,0.005_Hg_10min_2,0.005_Hg_10min_3
420,0.158880144,0.448229492,0.315769345,0.186601967,0.322621733,0.255167127,0.292260915,0.384435386,0.35659197,0.147353768,0.221937269,0.35265848,0.331120342,0.098425195,0.374559909,2.269520044,2.213263273,1.969866872,1.864999652,2.376302242,2.387849092,2.078752756,2.368534327,2.81205821,2.292100191,2.450335503,2.333162546,0.258000076,0.411218047,0.357448638,0.235734031,0.401234806,0.483182788,0.401496768,0.323462337,0.338823348,0.324589342,0.190340623,0.279929876,0.692159891,0.227082864,0.237514138,0.191812798,0.147122532,0.206384718,0.369676858,0.270584941,0.255108357,0.252102196,0.480133414,0.512485623,0.41764465,0.253659636,0.500858009,0.309547097,0.309996575,0.358721942,0.155718565,0.428558469,0.536378861,0.31525588,0.302201033,0.272025853,1.170506597,1.039582014,0.993299425,1.069366813,0.922057092,0.956953764,1.13214457,1.073120713,1.015102744,1.319448471,1.480415106,0.979447961,1.272605538,1.825997949,1.175663829,1.635370016,1.290804505,1.093525171,1.615810513,1.583229184,1.543349266,1.331895232,2.02261734,1.555146337,2.131482363,1.517399788,2.137099504,2.020633459,1.68938601,1.596806288,1.793816566,2.052476406,1.824802041,1.972937942,0.905601442,1.012954235,1.045119882,0.753956199,0.802200317,0.826324582,0.868548811,0.956070185,0.897481263,0.963170946,1.413016319,1.131607652,0.659743428,0.642530561,0.815837264,0.777315855,0.774963677,0.494945675,0.655672371,0.43862915,0.77391094,1.119978666,0.666323662,0.793598294
421.0599976,0.490942508,0.38815856,0.525526166,0.367070437,0.176607117,0.386363059,0.686859191,0.380917698,0.185829639,0.539727211,0.531115174,0.322308719,0.452978343,0.10853412,0.372985661,2.42323041,2.218971491,2.190274,2.44160223,3.160458565,2.831748247,2.611934185,2.968034744,3.076719999,2.315730572,2.538280249,2.639183521,0.128651559,0.292236537,0.180784285,0.344601244,0.243050039,0.305850834,0.349437982,0.391945541,0.482128561,0.267982006,0.150892779,0.420914382,0.478416681,0.312669694,0.296511054,0.354694754,0.401203603,0.469971299,0.408760577,0.527258456,0.218474537,0.420878947,0.369006783,0.43230018,0.419441998,0.46306634,0.289469123,0.470732033,0.30987525,0.383332372,0.423440337,0.334650159,0.443466425,0.317720443,0.25982517,0.38530907,1.342637658,1.296482325,1.359318972,1.208243251,1.312984824,0.948702335,1.313994884,1.135177255,1.501451969,1.209724426,1.150169492,1.397024155,1.648159623,1.631417394,1.365930319,2.132699251,2.060450554,2.309372187,1.55209744,1.746541858,1.258378983,1.907803416,1.536123395,1.572024703,2.01726985,1.688767552,2.073225975,2.25934267,2.081858158,2.315588474,2.408077955,1.988730669,3.113525152,1.62938571,0.904196978,1.020237446,1.020907879,0.977533281,0.947023809,1.037720323,1.218137741,0.762770236,0.901984334,1.123651147,1.043625116,0.766589999,0.69838208,0.790926218,0.828223169,0.991913378,0.425613612,0.629916012,1.086530566,0.884405017,0.588440061,0.796539784,0.663285852,0.848618269
421.9599915,0.732454419,0.449441999,0.401508987,0.136862099,0.41830501,0.247806042,0.891078234,0.309524387,0.412548035,0.277861983,0.469367594,0.284436166,0.292671502,0.321095109,0.250233531,3.055448771,3.158480883,2.786071301,3.271650791,2.968396664,2.884670973,2.619903088,3.399863243,2.604295015,2.563203335,3.141544104,2.767648697,0.375184476,0.426885396,0.374875039,0.330586702,0.281676114,0.392738342,0.40561235,0.239443839,0.334160388,0.420953393,0.217735395,0.415458322,0.443895996,0.521291792,0.495165825,0.482826382,0.4567689,0.253950566,0.394747436,0.36399132,0.296625882,0.368509501,0.447170615,0.378507495,0.595282435,0.469626695,0.492130101,0.426460654,0.507178187,0.448199719,0.388439387,0.527470291,0.668394029,0.372008413,0.693811715,0.372379571,1.500008702,1.686282396,1.356449485,1.751134872,1.218738914,1.296530128,1.586668611,1.085876107,1.400279999,1.291167021,1.244408488,1.71141386,2.193037748,2.230236769,1.706241965,1.546602964,1.533001184,2.200900078,1.763451457,2.286845207,1.835386276,1.419102669,2.341900587,2.017846346,2.211358309,2.706931114,2.649753094,2.171444654,2.649920702,2.865665674,1.987386465,2.93564558,2.438273191,2.360982656,1.098787904,0.981713533,0.982658923,0.884441197,1.182609797,1.197870135,1.23690033,1.099596858,1.237208009,1.45555532,1.008420348,1.170660973,0.801342905,0.857935906,0.990274966,1.03181994,0.659544706,0.775622368,0.879333973,1.041375637,0.931176126,0.824072897,1.015518069,0.989031494
423.0299988,0.877214789,0.619962812,0.830293119,0.587711811,0.531130135,0.563626707,0.552989125,0.260488749,0.519973576,0.410670728,0.525753737,0.651646256,0.717481196,0.386213869,0.335790336,4.597563744,4.524998188,4.075193882,4.243441582,4.277512074,4.399208069,4.577756882,4.318618298,3.812450171,4.424964428,4.729138374,4.247053623,0.746592581,0.510285199,0.773050785,0.636334717,0.584516108,0.481016189,0.261412293,0.531174898,0.479188353,0.618796349,0.405518413,0.445916146,0.932604849,0.605111122,0.55748421,0.902220786,0.432305962,0.333595634,0.445610732,0.64263171,0.545274019,0.520196855,0.787773728,0.909577787,0.444748253,0.428477258,0.554044068,1.056203246,0.48378104,0.524943292,0.605581462,0.713362515,0.728922665,0.63153708,0.387678564,0.446472883,2.091714859,2.113662243,1.927436709,2.788807154,2.326920033,2.177861452,2.149085522,1.798978686,2.197159529,2.367208958,1.791901708,2.026587486,3.5335989,2.483938694,3.352219582,3.249187708,2.702724695,3.186482668,3.041272163,2.883253098,3.542476892,2.567394257,3.709312439,2.900212765,2.980638266,3.681987762,3.062586546,3.406041622,3.016141176,3.33446908,3.727689266,3.597482681,4.032953262,3.452166557,1.78260684,2.107076406,2.068724871,1.583616614,1.760726571,1.41131115,2.214084387,2.321911812,1.550246239,1.683472872,1.580896139,1.701963544,1.302909613,1.759059668,1.120511413,1.291491151,1.415970445,1.311787724,1.484470487,1.010368705,1.323356867,1.174194098,0.860340774,1.461695194
423.9299927,1.547193527,1.529025912,1.481382847,1.215881944,1.837877154,1.260586023,2.588644028,0.951782048,0.896123052,0.671005845,1.451996446,1.228242874,0.874140441,0.968547225,1.068429589,11.30164051,10.86794186,12.55144405,12.16123486,11.79314899,12.06368065,11.47817993,13.38166046,11.97055721,12.1393013,11.98080349,13.10998344,1.17513752,1.301176786,1.005159855,1.201421738,0.623477697,1.17735815,1.28657937,0.884421766,1.453741908,1.040652037,1.04023385,1.031983137,1.096137166,1.34465909,1.232994199,0.818378449,0.74527508,1.482779503,1.088325739,0.602757394,1.097305417,1.11086607,1.325271249,1.033014894,1.131307006,1.358964205,1.486735702,1.037064791,1.416871428,1.511616349,1.174048543,1.457086325,1.200489998,1.142894983,1.455798984,1.045877457,6.146176815,6.15155077,5.783793449,5.788846493,5.533509731,6.347660542,5.931933403,5.964632034,6.055186272,5.051242828,5.808652401,5.798434258,9.060734749,7.90619278,8.621333122,8.66427803,7.987769127,8.757620811,8.921695709,7.805809975,8.66299057,8.774244308,7.981833935,7.97631979,9.319648743,9.326259613,9.591805458,10.69421959,9.104175568,10.46320343,10.32018375,10.50366783,8.671128273,9.585242271,4.508179665,4.922186375,4.545153141,4.527969837,4.428229809,4.360267162,4.714341164,5.51282692,4.476693153,4.665222645,4.051477432,5.097698689,4.373140812,3.783006668,3.160383224,3.833405972,3.509991646,3.807254553,4.07807827,2.791453123,3.325252295,2.609135628,4.017001152,3.046815634
425,7.932840824,6.951798916,7.647315979,4.657586098,6.948209286,4.664855957,12.65026474,5.117534161,4.984614849,4.929454803,6.147660732,4.495102406,5.131402493,5.823122025,6.025832176,53.16890335,57.88418198,55.01039124,54.45846939,56.34584045,56.63382339,55.66120148,56.63703537,58.05459595,56.77560043,57.04921341,58.04336548,4.302897453,4.649150372,4.346575737,4.319402218,3.803126574,4.054687977,4.233355522,4.296871662,4.391593456,3.989274263,4.429389954,3.764462233,5.012760639,4.143867016,4.343975067,4.850892067,3.91970849,4.341424465,3.736774206,3.733053684,4.054076672,3.589199781,3.312360764,3.919826269,4.941668034,5.163511276,5.065191269,5.14336729,4.632388115,5.326598167,4.696295261,6.124183178,5.390835285,5.685972214,4.976934433,5.210258961,26.11218643,28.27404213,28.02246475,25.84762955,26.75067902,26.63542557,26.31579018,25.19983292,25.88202095,26.26771545,26.17944717,27.76026726,39.1139946,37.97359848,37.38972092,39.39187622,38.27719498,40.23717499,39.34768677,38.91635132,38.31246948,38.21022797,40.09942627,37.98073578,45.37229919,44.9161644,48.157341,45.88082123,45.05594635,47.6150856,47.95114517,45.24953461,47.66556549,45.61304855,22.1156292,20.47738647,21.42105484,21.48604774,20.39600372,21.06073952,23.43498993,21.9426899,22.08995056,21.582201,21.09679604,21.04094696,19.05993462,18.24471664,15.67944336,15.72434998,16.56058693,14.8864069,16.83493233,16.46784973,15.53711033,17.14248276,16.36623383,16.94751549
426.0599976,28.71517372,26.93833733,26.49559784,15.89335728,22.53068542,16.46538544,37.37204742,14.31820393,17.2225132,15.42761612,19.81798553,15.46588707,14.54918957,16.84627151,15.4344902,167.592514,173.5238953,170.6817627,174.9623108,169.0240936,174.8914337,171.8860931,178.5969543,177.6997375,178.530899,175.6919556,172.8928223,12.94025898,13.25583744,13.27207279,11.96500969,13.64782619,13.13046932,13.56546688,12.57899666,11.83832836,14.00859451,13.54431057,12.62052631,17.15126801,13.98700714,14.83397484,12.88925838,13.29657745,13.39045238,11.65667629,11.9968071,12.61916637,13.32584381,13.05587101,11.90806866,18.53143692,16.24396896,16.90145493,17.20595551,16.90640259,16.70957756,17.15790749,18.74046326,17.46202278,15.38677883,17.20435715,14.94417286,82.32624817,79.63838196,81.61894989,82.02428436,85.88555145,81.16740417,80.86235046,79.62945557,78.99569702,78.33590698,81.57299805,81.48697662,119.6351471,113.1452942,121.5789948,117.0629959,124.6509705,117.2644882,120.1017075,121.9334869,126.3520889,122.5164948,120.660759,119.223877,142.8061218,146.190918,142.2180176,145.5254822,148.8496704,146.7553558,151.4549713,148.0628967,143.8756104,142.2222595,65.86540985,65.51952362,63.98408127,69.40641022,66.96508789,66.8984375,70.84195709,69.22409821,65.88299561,68.92367554,64.04863739,64.80602264,54.53857803,56.87435532,51.32115936,51.52222824,53.66155624,50.08216095,51.42634964,49.56282806,50.94065094,52.11962509,46.92199707,50.68008423
426.9599915,59.53813553,56.47821045,52.44215012,30.16038132,41.67278671,34.80839539,70.47180176,32.25589371,35.59006882,34.10400772,40.09736633,31.25211143,31.09809494,31.74052429,32.07030106,349.378479,348.9962769,355.4907227,347.7684631,349.4726257,347.0013733,340.4355469,352.0955505,360.4324036,356.3196106,353.7713013,343.0239868,26.77497101,28.00577927,27.03561974,26.21632767,26.65931129,27.83735085,27.00376701,26.53348732,25.76346207,26.42929459,26.36882782,26.47836876,32.43904877,28.44079018,28.42534828,24.57224083,27.17085648,26.18874741,24.74641609,24.46307564,26.10029793,26.60282326,23.97027588,24.79436493,35.17090225,35.35992432,35.09313583,34.80531693,35.79960251,34.84442902,34.42445755,37.22797775,36.15536118,34.45943832,33.75523758,34.59449387,169.1058197,165.9537506,165.7435303,165.7659302,162.8325043,164.1533966,162.5337219,164.8852692,166.3889313,165.2418823,162.6048126,167.6196594,234.0405273,232.9041595,236.1533051,237.7826538,240.0512543,239.2733459,245.4451141,246.7087708,245.4924774,248.8488617,239.0574341,235.0461426,297.1741028,291.8565369,285.350647,289.1367188,286.5979614,293.8167725,293.4677429,300.359314,299.3273926,294.1516724,134.4657898,132.3777008,136.933609,138.0179291,134.7376862,132.9798126,136.8839722,132.0020294,131.0834198,133.2516479,133.3479309,131.7967834,104.6930466,110.1462173,102.055687,101.8649597,100.3866882,99.19651794,99.89500427,98.23731995,99.78382111,100.0413971,98.99986267,104.3331833
428.0299988,100.1184082,98.8602829,94.94441223,57.274086,76.2053299,61.65555573,120.3244629,56.29815674,61.24604797,57.63473129,73.77152252,57.09127426,56.19034576,57.35638046,57.09297562,620.8067627,615.0587158,627.3685303,616.3129272,625.7480469,631.8991699,618.9970093,635.0658569,632.1164551,636.7958374,632.1811523,622.0584717,48.58104324,47.01924133,49.43835449,45.88130188,46.38079834,49.85894775,45.6174736,47.13495255,48.95146179,47.96250534,45.31010056,46.49209213,54.42090988,56.26288986,52.92989731,44.63492966,46.74678802,48.60302353,42.24380112,44.74301529,45.62457657,45.61463928,43.90380859,44.23191071,65.38327026,62.44529343,62.54938126,60.26808548,60.07093811,64.38716125,63.88858795,63.85845566,65.24177551,60.03761673,61.33822632,61.467453,302.0613708,298.0683594,294.4876404,297.340271,294.4840698,300.9550171,290.912323,291.7227173,297.2889404,294.4610596,297.6072388,295.636322,430.7464294,427.4341125,421.2995605,439.4918823,418.2626038,428.7005005,436.3487549,440.95755,436.2493896,425.1017761,428.1619873,436.6369019,512.0800781,515.9295044,501.3587341,513.5501709,503.6289063,520.4085693,519.3450317,513.4401245,517.5438843,513.548584,241.3110199,237.4175262,243.6895752,239.8661957,239.7636414,236.3724365,245.4472351,241.2347412,240.0073853,241.3360748,236.4183807,241.2613373,182.0512848,192.1334686,175.6534729,182.4597321,183.5164185,181.4801178,177.3911438,179.8999023,174.6225128,187.661377,180.4539795,184.7489014
428.9299927,139.0420532,138.4202881,131.8616028,80.21870422,106.4174194,86.0192337,158.3986053,82.62532806,87.87218475,83.83499146,105.3064804,81.39379883,78.90303802,81.5140152,84.64490509,899.0961914,900.2625122,897.2761841,889.654541,870.7473145,899.1809082,887.1864014,909.1635132,907.3381958,911.1644287,899.9545898,892.4598389,66.56282043,67.47184753,66.85243225,66.11927795,64.8832016,71.76413727,70.80857849,70.91361237,68.35121918,64.46780396,67.79545593,64.0760498,83.49088287,75.15227509,75.87954712,65.31309509,69.98561096,65.24620056,61.81226349,62.96640015,62.04961777,63.17634964,60.89894867,59.53710556,88.61540985,91.82984924,88.29488373,91.59133148,85.76558685,90.36753082,90.07296753,91.68396759,88.92799377,87.4001236,87.89763641,86.27262878,429.1741943,423.0221863,421.2338562,426.6516113,430.7525024,434.1533203,429.3310547,427.9766846,429.2714844,432.0023804,430.9475098,430.149292,601.1640015,595.4764404,603.9664307,617.0980225,610.0195313,616.4954224,615.9825439,634.0344849,616.1303711,615.7039185,603.5838623,618.1011353,736.520752,737.9034424,732.7884521,734.0899048,727.8687134,741.3963623,750.0513306,743.2094727,729.1311035,731.7051392,344.9363098,340.4923706,336.5187683,345.0387573,334.7634888,354.1703186,346.6347961,349.4789429,343.4697876,343.2213135,337.2215271,341.190155,254.9495697,272.6138,258.6633606,259.7934265,266.1390686,259.2079773,252.5396881,255.0332794,256.3930359,261.3581848,259.953125,259.6799011
430,171.1484375,169.2001801,158.6752472,99.36225128,121.8048706,105.371254,187.6285248,100.949028,107.4246292,102.906868,121.5877075,101.0763855,97.77852631,97.82543182,99.5434494,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,79.84220886,81.69511414,78.74515533,78.8782196,77.53289032,87.22632599,83.22427368,86.31612396,84.46605682,78.4287796,78.90568542,79.0871048,95.35646057,90.45888519,87.83058929,76.49621582,81.306633,83.47710419,70.63111115,80.01202393,74.85977936,72.45274353,72.97297668,75.09779358,107.4858322,114.5259705,108.9749451,107.1220093,108.6335526,107.8754959,107.5736923,107.7416611,103.38134,107.4878616,103.1904449,103.9915619,527.1888428,514.5349731,514.4550781,530.5147705,520.0088501,525.1438599,519.6291504,520.192627,530.3145752,524.5841675,527.0112915,529.2687378,744.9795532,739.8869019,730.30896,753.1431274,730.4668579,735.5994263,740.0899658,760.9090576,741.8244629,740.9589844,747.8502808,729.6939087,887.62323,888.2732544,878.0079956,879.50177,875.7670898,878.6589966,895.5341187,894.380249,870.203186,885.2479858,423.9281311,416.0715332,409.4998779,421.5839844,412.594574,416.3166504,420.7931213,415.0797119,416.6543884,412.3901062,410.2542419,417.510376,309.0346069,330.1026917,311.1122131,316.4021301,320.5522156,313.663147,311.1560059,305.7227478,309.6472778,318.1021423,315.6633911,325.431366
431.0599976,161.4519196,154.5726013,148.9396057,94.13493347,111.9482498,101.2550507,167.7926025,93.01834869,101.1155548,97.92649841,116.7134857,90.41461182,93.01811218,91.53652954,92.63482666,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,77.57749176,77.34614563,75.63681793,74.26607513,75.53170013,81.12783051,77.60116577,75.67175293,77.9885788,74.17767334,78.45207977,74.8208847,85.06156921,85.34494781,84.25744629,71.55921936,81.45996094,80.19371796,66.50348663,74.71432495,73.39980316,70.61666107,67.99264526,70.48989105,102.2882538,106.0328903,104.833252,104.0934677,99.65062714,100.9032593,101.4294586,102.5370483,98.64876556,99.57465363,97.74741364,102.2113113,501.0594177,499.9050598,507.0956421,496.0942993,488.9717102,505.5336304,505.7997742,493.7779846,499.1236267,500.8909607,513.6363525,497.4306641,711.8561401,702.2261353,697.6963501,721.2224731,700.3056641,701.241394,709.0267334,706.7366943,694.9484863,697.3647461,704.2061157,703.4342041,847.6307983,838.0674438,835.6790161,839.8179932,832.5588989,829.6580811,836.1887207,827.4244995,824.8485107,822.3738403,390.4638977,390.2488098,407.7359314,393.6898193,396.5378723,394.131012,400.8050842,395.914856,401.6520081,392.0356445,390.1250916,391.2701111,291.5133057,316.482605,289.5309448,302.2832336,304.0370483,303.4205017,291.7205811,298.6726074,297.9163513,303.1577759,291.9000244,301.1749268
